id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
11970,2022,Q,salud humana,7820671,5665,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2002,Q,9580111.0,67.0,1829739,2098615,61.0,7.0,68.0,53406,94153,19618,71607,871
11397,2022,Q,salud humana,5350177,5646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2001,Q,4646424.0,32.0,1513507,1516981,23.0,9.0,32.0,51636,20310,6731,26354,0
14721,2022,Q,salud humana,2413922,5433,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,Q,2630717.0,60.0,1542656,1574597,43.0,17.0,60.0,0,35728,10427,76020,136
14489,2022,Q,salud humana,2322733,5200,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1999,Q,2510455.0,27.0,645931,687201,27.0,4.0,31.0,15371,10341,12983,28276,0
14025,2022,Q,salud humana,5597134,3920,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1989,Q,5814082.0,43.0,1274447,1349104,40.0,5.0,45.0,0,1865,25795,61424,0
20531,2022,Q,salud humana,2803191,3240,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,Q,3400000.0,13.0,282814,292158,10.0,3.0,13.0,32092,5545,21000,84652,0
20261,2022,Q,salud humana,6084088,872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Q,5543894.0,23.0,1545951,1621322,20.0,3.0,23.0,53553,184904,338,20838,0
11752,2022,Q,salud humana,2956365,737,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1998,Q,3293989.0,33.0,1133040,1151351,17.0,16.0,33.0,35177,0,3753,8227,443
12748,2022,Q,salud humana,4838639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,Q,3396770.0,53.0,1078239,1078239,42.0,11.0,53.0,25937,185800,11278,62819,0
11346,2022,Q,salud humana,2831848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,Q,2472787.0,38.0,1039005,1099360,30.0,8.0,38.0,31208,42783,10415,60784,37
19979,2022,Q,salud humana,4097147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Q,4913836.0,49.0,1031789,1097897,41.0,8.0,49.0,35124,28299,4917,21834,0
14123,2022,Q,salud humana,2081525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Q,2138957.0,45.0,829081,829081,40.0,5.0,45.0,0,10957,0,0,0
19330,2022,Q,salud humana,2887640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,Q,2283194.0,16.0,566541,584380,13.0,3.0,16.0,232,11617,6927,39781,0
14273,2022,Q,salud humana,5150068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,5522657.0,60.0,1363865,1420315,51.0,9.0,60.0,0,0,39881,71892,0
11395,2022,Q,salud humana,7893872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Q,6043853.0,82.0,1793794,1952918,77.0,5.0,82.0,38644,12689,20628,108412,0
11398,2022,Q,salud humana,4166027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,Q,4365817.0,56.0,1618034,1641860,44.0,12.0,56.0,51973,190583,19101,84984,1444
14350,2022,Q,salud humana,4782371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Q,4480531.0,69.0,1426412,1501197,55.0,14.0,69.0,1015,21053,16656,75662,83
14436,2022,Q,salud humana,8445506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,Q,9362131.0,63.0,1802613,1858450,57.0,6.0,63.0,97333,42073,24808,124137,0
